ACC,No,NS
EFRAN BERKAT ADITAMA,VEBA000001,EFRAN BERKAT ADITAMA
SUMBER MANDIRI SURABAYA. PT,VEBA000002,SUMBER MANDIRI SURABAYA. PT
TIKET.COM,VEBA000003,TIKET.COM
GROSIR CCTV INDO,VEBA000004,GROSIR CCTV INDO
NIKYSAY KARYA SUKSES. PT,VEBA000005,NIKYSAY KARYA SUKSES. PT
TRAVELOKA,VEBA000006,TRAVELOKA
AIR ASIA INDONESIA,VEBA000007,AIR ASIA INDONESIA
TERANG MAKMUR,VEBA000008,TERANG MAKMUR
BERKAH MANDIRI GLOBALINDO. PT,VEBA000009,BERKAH MANDIRI GLOBALINDO. PT
MIURA INDONESIA. PT,VEBA000010,MIURA INDONESIA. PT
GNW TRANSPORT,VEBA000011,GNW TRANSPORT
SUMBER SARI. UD,VEBA000012,SUMBER SARI. UD
RATNA JAYA,VEBA000013,RATNA JAYA
ACE HARDWARE,VEBA000014,ACE HARDWARE
SUMBER ABADI BAJA PERKASA,VEBA000015,SUMBER ABADI BAJA PERKASA
TOKOPEDIA,VEBA000016,TOKOPEDIA
ANUGRAH CEMERLANG. CV,VEBA000017,ANUGRAH CEMERLANG. CV
CAKRA BESI INDOPRIMA. CV,VEBA000018,CAKRA BESI INDOPRIMA. CV
SINAR JAYA,VEBA000019,SINAR JAYA
WATER TEKNINDO PRATAMA,VEBA000020,WATER TEKNINDO PRATAMA
JAYA MAJU ABADI,VEBA000021,JAYA MAJU ABADI
PIONIR ELEKTRIK JAKARTA,VEBA000022,PIONIR ELEKTRIK JAKARTA
BEST ARGO LOGISTIK,VEBA000023,BEST ARGO LOGISTIK
PLAZA TOYOTA,VEBA000024,PLAZA TOYOTA
CAHAYA PANEL MANDIRI,VEBA000025,CAHAYA PANEL MANDIRI
FERRY BAPAK SUKABUMI,VEBA000026,FERRY BAPAK SUKABUMI
BINTANG JAYA. PD,VEBA000027,BINTANG JAYA. PD
TOKO CAT BINTANG JAYA,VEBA000028,TOKO CAT BINTANG JAYA
MBT STEEL,VEBA000029,MBT STEEL
TOKO UMUM,VEBA000030,TOKO UMUM
DUNIA ELECTRIC,VEBA000031,DUNIA ELECTRIC
TRI MURNI JAYA,VEBA000032,TRI MURNI JAYA
DIPO INTERNASIONAL PAHALA OTOMOTIF PT,VEBA000033,DIPO INTERNASIONAL PAHALA OTOMOTIF PT
TAMA COOL PT,VEBA000034,TAMA COOL PT
"GALVALINDO UTAMA MANDIRI, PT",VEBA000035,"GALVALINDO UTAMA MANDIRI, PT"
KENCANA MAJU BERSAMA PT,VEBA000036,KENCANA MAJU BERSAMA PT
SARANA NIKOTEKNIK PT,VEBA000037,SARANA NIKOTEKNIK PT
SHOPEE INDONESIA,VEBA000038,SHOPEE INDONESIA
